nr	bf01	bf02	bf03	bf04	bf05	bf06	bf07	bf08	bf09	bf10	bf11	bf12	bf13	bf14	bf15	bf16	bf17	bf18	bf19	bf20	sex	alter	nation	schule
176	4	4	3	5	3	5	3	5	3	4	5	3	5	4	5	4	4	3	4	3	1	23	1	3
177	4	5	3	5	3	5	3	4	3	5	4	3	4	3	5	5	5	5	5	3	1	22	1	3
178	2	4	5	3	4	2	5	4	4	3	4	3	3	3	4	4	3	4	5	5	1	23	1	3
179	5	5	4	4	5	5	3	5	5	4	3	2	5	3	5	3	5	4	2	1	2	22	1	3
180	4	3	3	4	4	4	2	3	4	4	4	2	4	3	4	4	4	3	3	2	1	20	1	3
181	3	3	5	4	5	3	5	4	5	5	5	4	3	3	2	3	4	4	5	5	1	28	1	3
182	4	3	4	3	2	3	4	3	2	4	5	3	5	2	3	5	3	3	4	4	1	36	1	3
183	5	5	5	4	3	5	4	5	3	4	5	4	5	4	5	5	4	3	3	4	1	22	1	3
184	3	4	2	5	5	4	2	5	4	5	4	3	3	3	4	3	4	3	5	3	1	25	1	3
185	5	4	4	4	4	5	4	3	4	4	4	5	5	5	4	5	5	5	4	4	1	25	18	3
186	3	3	3	5	4	3	3	2	4	5	4	4	4	4	3	4	3	4	4	3	2	23	1	3
188	4	5	3	3	4	5	3	4	4	4	4	3	3	4	3	3	4	4	4	3	1	22	1	3
189	4	3	5	4	4	4	4	5	5	5	5	5	3	4	5	5	5	4	5	3	2	20	15	3
190	4	5	3	5	4	5	2	5	5	5	5	5	4	3	5	4	5	3	4	2	1	25	1	3
191	4	4	4	3	4	4	4	5	4	2	4	2	4	4	5	4	4	4	2	5	1	19	1	3
192	2	4	3	4	3	3	3	4	3	4	4	4	4	4	4	3	5	4	5	3	1	20	1	3
193	4	4	3	4	4	4	3	4	4	3	4	3	4	3	4	4	4	3	5	4	1	33	1	3
194	2	4	5	3	3	3	4	5	3	3	5	2	4	4	4	4	4	3	2	5	1	25	19	3
195	4	5	4	4	5	4	4	4	5	4	4	2	3	4	4	2	5	5	2	4	1	20	1	3
196	4	3	2	5	3	4	2	2	4	5	3	5	4	4	3	4	4	3	4	1	1	22	1	3
197	5	4	3	5	3	3	2	2	3	5	5	5	3	3	4	5	4	3	5	3	1	25	1	3
198	5	4	4	3	4	5	4	4	4	3	4	2	4	3	3	2	4	3	3	4	1	22	1	3
199	3	4	3	4	3	2	3	4	4	3	4	2	3	3	4	4	5	4	4	3	1	23	1	3
200	4	5	5	4	3	4	5	3	3	5	5	4	4	3	4	4	4	3	4	4	1	20	1	3
201	3	2	2	5	5	4	1	3	5	5	1	5	5	3	2	5	3	4	5	4	2	20	1	3
202	5	3	3	4	3	4	4	5	4	3	5	2	3	3	5	2	5	4	5	4	1	27	1	3
203	5	4	5	5	5	5	5	4	5	5	4	4	4	4	4	4	4	5	4	4	1	30	1	3
204	2	3	3	5	5	2	3	5	4	4	5	3	2	4	4	3	5	4	4	3	1	19	1	3
205	4	5	3	4	4	5	3	3	4	2	3	2	4	3	4	4	4	4	3	3	1	24	1	3
206	5	5	5	2	5	5	5	5	5	5	5	1	5	4	5	4	5	4	5	3	1	26	1	3
208	5	4	3	5	3	5	3	5	3	4	4	4	4	3	3	4	4	3	5	4	1	21	1	3
209	5	5	5	5	3	4	5	4	4	2	5	4	5	3	4	4	4	3	1	2	1	24	1	3
210	5	4	3	2	4	5	3	4	4	1	4	1	5	5	5	5	4	4	3	4	2	23	1	3
